class,predicate,distinct_objects,total_objects,uniqueness
AdministrativeRegion,mayPrecipitationMm,1302,2354,0.553101
Species,familiaAuthority,1295,1630,0.794479
Person,curlingClub,1290,3622,0.356157
Species,curlingClub,1290,3622,0.356157
Person,practice,1289,1420,0.907746
Species,soundRecording,1289,1289,1.000000
Species,practice,1289,1420,0.907746
Species,fmmf,1287,3695,0.348309
Person,soundRecording,1285,1285,1.000000
AdministrativeRegion,munFormation,1276,1368,0.932749
Person,apprehended,1269,1331,0.953418
Species,apprehended,1269,1331,0.953418
Star,simbad,1268,1299,0.976135
AdministrativeRegion,imageView,1263,1268,0.996057
Species,honours,1261,5173,0.243766
Person,combinedTotal,1259,1473,0.854718
Species,combinedTotal,1259,1473,0.854718
Person,attributes,1258,2681,0.469228
Species,attributes,1258,2681,0.469228
AdministrativeRegion,sepPrecipitationMm,1258,2355,0.534183
Star,appmag,1238,1364,0.907625
Species,mmff,1234,3695,0.333965
Person,fsScore,1225,1465,0.836177
Species,fsScore,1225,1465,0.836177
AdministrativeRegion,areaLandKm,1222,1284,0.951713
Person,students,1220,1316,0.927052
Species,students,1220,1316,0.927052
AdministrativeRegion,pushpinLabel,1220,1408,0.866477
Species,j,1216,1217,0.999178
ChemicalCompound,imagefilel,1215,1374,0.884279
ChemicalCompound,imagefiler,1212,1363,0.889215
Person,j,1211,1212,0.999175
Person,organizations,1211,2280,0.531140
Species,organizations,1211,2280,0.531140
Person,choreographer,1210,2301,0.525858
Species,choreographer,1210,2301,0.525858
Person,league,1209,17886,0.067595
Species,league,1209,17886,0.067595
AdministrativeRegion,replink,1206,1379,0.874547
Species,tribus,1204,6844,0.175921
Person,collegeteam,1201,3778,0.317893
Species,collegeteam,1201,3778,0.317893
Person,stat4value,1195,3070,0.389251
Species,stat4value,1195,3070,0.389251
Person,pid,1186,1199,0.989158
Species,pid,1186,1199,0.989158
Species,type,1178,35378,0.033298
Person,spScore,1177,1476,0.797425
Species,cultivar,1177,1212,0.971122
Species,spScore,1177,1476,0.797425
