value,yago-4,yago-4.5.0.2,relative_change
nodes/http://yago-knowledge.org/resource/G20/unweighted,0.408224,2.121033,4.195756
nodes/http://yago-knowledge.org/resource/West_Berlin/rank_shift,31.000000,161.000000,4.193548
nodes/http://yago-knowledge.org/resource/Lubusz_Voivodeship/rank_weighted,74.000000,383.000000,4.175676
nodes/http://yago-knowledge.org/resource/Erik_Amburger_Q110972/rank_shift,126.000000,651.000000,4.166667
nodes/http://yago-knowledge.org/resource/Stockholm/unweighted,0.215669,1.106000,4.128218
nodes/http://yago-knowledge.org/resource/Masovian_Voivodeship/rank_weighted,34.000000,174.000000,4.117647
nodes/http://yago-knowledge.org/resource/European_Payments_Union/unweighted,0.400199,2.042614,4.104000
nodes/http://yago-knowledge.org/resource/Oak_Ridge_Associated_Universities/rank_shift,-37.000000,113.000000,4.054054
nodes/http://yago-knowledge.org/resource/Romania/entropy_weighted,0.159627,0.806315,4.051257
nodes/http://yago-knowledge.org/resource/British_Isles/rank_weighted,190.000000,958.000000,4.042105
nodes/http://yago-knowledge.org/resource/Giessen/rank_unweighted,137.000000,689.000000,4.029197
nodes/http://yago-knowledge.org/resource/Greece/entropy_weighted,0.168282,0.832213,3.945338
nodes/http://yago-knowledge.org/resource/Upper_Rhine_Trinational_Metropolitan_Region_Q606944/rank_shift,-128.000000,371.000000,3.898438
nodes/http://yago-knowledge.org/resource/Europe/rank_weighted,152.000000,742.000000,3.881579
nodes/http://yago-knowledge.org/resource/Organization_for_Security_and_Co-operation_in_Europe/unweighted,0.741780,3.620589,3.880950
nodes/http://yago-knowledge.org/resource/Vienna/unweighted,0.851819,4.142296,3.862882
nodes/http://yago-knowledge.org/resource/Organisation_for_Joint_Armament_Cooperation/unweighted,0.227758,1.101271,3.835266
nodes/http://yago-knowledge.org/resource/Hungary/entropy_weighted,0.159627,0.768814,3.816327
nodes/http://yago-knowledge.org/resource/Climate_Alliance/rank_shift,-5.000000,14.000000,3.800000
nodes/http://yago-knowledge.org/resource/World_Trade_Organization/unweighted,1.018781,4.855466,3.765956
nodes/http://yago-knowledge.org/resource/Luxembourg/entropy_weighted,0.159627,0.753570,3.720830
nodes/http://yago-knowledge.org/resource/NATO/unweighted,0.551897,2.602661,3.715846
nodes/http://yago-knowledge.org/resource/Portugal/rank_shift,-38.000000,-179.000000,-3.710526
nodes/http://yago-knowledge.org/resource/Opole_Voivodeship/rank_weighted,85.000000,400.000000,3.705882
nodes/http://yago-knowledge.org/resource/Amsterdam/unweighted,0.156711,0.732402,3.673601
nodes/http://yago-knowledge.org/resource/National_Prize_of_the_German_Democratic_Republic/rank_shift,24.000000,112.000000,3.666667
nodes/http://yago-knowledge.org/resource/Universal_Postal_Union/unweighted,1.123739,5.222505,3.647435
nodes/http://yago-knowledge.org/resource/British_Isles/rank_shift,71.000000,-187.000000,-3.633803
nodes/http://yago-knowledge.org/resource/International_Centre_for_Settlement_of_Investment_Disputes/unweighted,0.814581,3.771213,3.629634
nodes/http://yago-knowledge.org/resource/Charlottenburg-Wilmersdorf/rank_shift,22.000000,101.000000,3.590909
nodes/http://yago-knowledge.org/resource/Brandenburg/unweighted,0.351972,1.613497,3.584169
nodes/http://yago-knowledge.org/resource/Asian_Development_Bank/unweighted,0.656523,2.997504,3.565726
nodes/http://yago-knowledge.org/resource/University_of_Hamburg/rank_shift,26.000000,118.000000,3.538462
nodes/http://yago-knowledge.org/resource/Karl_Liebknecht/rank_shift,44.000000,199.000000,3.522727
nodes/http://yago-knowledge.org/resource/Rosa_Luxemburg/rank_shift,44.000000,199.000000,3.522727
nodes/http://yago-knowledge.org/resource/Bulgaria/entropy_weighted,0.159627,0.714339,3.475061
nodes/http://yago-knowledge.org/resource/George_II_of_Great_Britain/rank_shift,38.000000,170.000000,3.473684
nodes/http://yago-knowledge.org/resource/Croatia/unweighted,0.170239,0.754444,3.431689
nodes/http://yago-knowledge.org/resource/Organisation_for_the_Prohibition_of_Chemical_Weapons/unweighted,1.141474,5.041171,3.416369
nodes/http://yago-knowledge.org/resource/Interpol/unweighted,1.212762,5.346923,3.408882
nodes/http://yago-knowledge.org/resource/Switzerland/unweighted,5.483696,24.151753,3.404284
nodes/http://yago-knowledge.org/resource/European_Space_Agency/unweighted,0.501579,2.198427,3.383011
nodes/http://yago-knowledge.org/resource/African_Development_Bank/unweighted,0.590310,2.585039,3.379122
nodes/http://yago-knowledge.org/resource/London/entropy_weighted,0.307676,1.334663,3.337893
nodes/http://yago-knowledge.org/resource/Paraguay/rank_shift,18.000000,78.000000,3.333333
nodes/http://yago-knowledge.org/resource/University_of_Göttingen/unweighted,0.166012,0.718713,3.329291
nodes/http://yago-knowledge.org/resource/Zug/rank_shift,-150.000000,346.000000,3.306667
nodes/http://yago-knowledge.org/resource/Walchwil/rank_shift,-150.000000,343.000000,3.286667
